"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;secondary and post-secondary - general secondary;2021;[person]";"total;secondary and post-secondary - vocational secondary;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";"total;primary not completed and without school education;2021;[person]";"total;unknown;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;secondary and post-secondary - general secondary;2021;[person]";"males;secondary and post-secondary - vocational secondary;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary;2021;[person]";"males;primary completed;2021;[person]";"males;primary not completed and without school education;2021;[person]";"males;unknown;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;secondary and post-secondary - general secondary;2021;[person]";"females;secondary and post-secondary - vocational secondary;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary;2021;[person]";"females;primary completed;2021;[person]";"females;primary not completed and without school education;2021;[person]";"females;unknown;2021;[person]";
1207000;"Powiat limanowski";108136;18282;34460;9431;22245;30589;3654;15311;4064;1776;53688;6018;15568;3553;11265;19726;1991;7364;2092;929;54448;12264;18892;5878;10980;10863;1663;7947;1972;847;
1208000;"Powiat miechowski";41583;7605;15932;3588;11025;9365;1096;5737;1258;590;20335;2797;7711;1401;5934;5728;606;2566;602;325;21248;4808;8221;2187;5091;3637;490;3171;656;265;
1209000;"Powiat myślenicki";107969;21502;34833;9812;22117;30283;3114;12695;3939;1603;53047;7478;16485;4042;11629;18784;1705;5815;1906;874;54922;14024;18348;5770;10488;11499;1409;6880;2033;729;
1210000;"Powiat nowosądecki";177458;30351;60834;17430;38059;48373;5812;22111;6484;3493;87879;10943;28003;6539;20049;30506;3246;10027;3295;1859;89579;19408;32831;10891;18010;17867;2566;12084;3189;1634;
1211000;"Powiat nowotarski";161879;26397;46724;17313;24672;43026;5460;28232;5588;6452;78565;9333;20603;6716;12486;25194;3069;14285;2825;3256;83314;17064;26121;10597;12186;17832;2391;13947;2763;3196;
1212000;"Powiat olkuski";95024;22007;36765;10742;22728;18902;2166;10987;2662;1535;45697;8621;17636;4441;12246;11592;1207;4525;1290;826;49327;13386;19129;6301;10482;7310;959;6462;1372;709;
1213000;"Powiat oświęcimski";130899;26487;47019;13985;29055;34285;3267;13545;3891;2405;62943;10186;22286;5358;15757;19837;1873;5526;1953;1282;67956;16301;24733;8627;13298;14448;1394;8019;1938;1123;
1214000;"Powiat proszowicki";37067;5400;12335;3571;7842;10855;1048;5723;1044;662;18203;1838;5771;1301;4205;6501;595;2603;509;386;18864;3562;6564;2270;3637;4354;453;3120;535;276;
1215000;"Powiat suski";70990;11746;23085;7484;13614;19851;2347;10506;2399;1056;34797;4071;10365;2808;6995;12414;1325;4902;1166;554;36193;7675;12720;4676;6619;7437;1022;5604;1233;502;
1216000;"Powiat tarnowski";169417;28500;54720;16441;33620;50524;4746;21458;5390;4079;83541;10454;25383;6044;18079;30928;2688;9308;2663;2117;85876;18046;29337;10397;15541;19596;2058;12150;2727;1962;
1217000;"Powiat tatrzański";57356;10726;18015;5880;10404;13057;1965;9566;1748;2279;27374;4145;7861;2313;5035;7445;1147;4724;919;1133;29982;6581;10154;3567;5369;5612;818;4842;829;1146;
1218000;"Powiat wadowicki";134934;23069;44515;12752;27912;41215;4002;15698;4260;2175;65674;8482;20459;4996;14467;24354;2292;6815;2137;1135;69260;14587;24056;7756;13445;16861;1710;8883;2123;1040;
1219000;"Powiat wielicki";115556;30912;38361;12788;21325;26456;3307;10809;3553;2158;56085;12231;18321;5234;11820;15826;1904;4802;1838;1163;59471;18681;20040;7554;9505;10630;1403;6007;1715;995;
1261000;"City with powiat status Kraków";702053;302993;223991;89569;105538;88018;13513;42371;13987;17180;323310;127810;104297;37706;57954;49657;7673;17935;7151;8787;378743;175183;119694;51863;47584;38361;5840;24436;6836;8393;
1262000;"City with powiat status Nowy Sącz";70031;19495;27272;9315;14708;12789;1710;4665;2005;2095;33020;7829;12336;3659;7772;7802;972;2043;989;1049;37011;11666;14936;5656;6936;4987;738;2622;1016;1046;
1263000;"City with powiat status Tarnów";94241;26101;34979;12305;18368;18440;2140;7318;2123;3140;43855;10724;15880;4673;9981;10327;1222;3054;1075;1573;50386;15377;19099;7632;8387;8113;918;4264;1048;1567;
1401000;"Powiat białobrzeski";27916;4306;8383;2777;5065;7576;948;5338;991;374;13948;1564;3988;1177;2621;4600;550;2550;484;212;13968;2742;4395;1600;2444;2976;398;2788;507;162;
1402000;"Powiat ciechanowski";74840;16914;26402;9434;14584;16276;2182;9647;2153;1266;36590;6659;12187;3842;7635;10144;1252;4503;1116;729;38250;10255;14215;5592;6949;6132;930;5144;1037;537;
1403000;"Powiat garwoliński";89043;16512;31573;9853;19347;21800;2732;12290;3172;964;43916;5574;15245;3966;10599;13421;1590;5968;1569;549;45127;10938;16328;5887;8748;8379;1142;6322;1603;415;
1404000;"Powiat gostyniński";38010;6703;13574;4512;7852;8289;1128;6536;1155;625;18322;2280;6401;1630;4444;5178;670;2871;588;334;19688;4423;7173;2882;3408;3111;458;3665;567;291;
1405000;"Powiat grodziski";85264;27677;29750;11381;15187;12711;2484;8198;2732;1712;40487;11119;14351;4843;8496;7442;1427;3760;1410;978;44777;16558;15399;6538;6691;5269;1057;4438;1322;734;
1406000;"Powiat grójecki";83976;16493;30292;9836;18053;18838;2457;11905;2598;1393;40981;6318;14356;3909;9701;11240;1405;5541;1327;794;42995;10175;15936;5927;8352;7598;1052;6364;1271;599;
1407000;"Powiat kozienicki";50586;9831;17134;5350;10585;12411;1438;7590;1504;678;24769;3695;8162;1942;5841;7452;877;3483;733;367;25817;6136;8972;3408;4744;4959;561;4107;771;311;
1408000;"Powiat legionowski";106979;35789;39118;15130;19645;14272;3169;9156;3607;1868;51132;14815;18992;6683;10963;8254;1822;4294;1885;1070;55847;20974;20126;8447;8682;6018;1347;4862;1722;798;
1409000;"Powiat lipski";28380;4949;9629;3139;5539;7141;747;4653;917;344;13973;1736;4735;1245;3184;4411;444;2041;419;187;14407;3213;4894;1894;2355;2730;303;2612;498;157;
1410000;"Powiat łosicki";25526;4531;8915;2536;5701;5546;849;4615;818;252;12668;1653;4282;859;3233;3545;501;2159;392;136;12858;2878;4633;1677;2468;2001;348;2456;426;116;
1411000;"Powiat makowski";36903;6430;13735;4600;8074;7963;1138;5740;1285;612;18317;2322;6605;1878;4435;5073;671;2663;632;351;18586;4108;7130;2722;3639;2890;467;3077;653;261;
1412000;"Powiat miński";133261;33574;47764;16899;26041;26571;3976;15038;4444;1894;64469;12474;23205;7145;14636;16191;2277;6984;2256;1082;68792;21100;24559;9754;11405;10380;1699;8054;2188;812;
1413000;"Powiat mławski";60437;10483;21462;7027;12894;14973;1841;8415;1991;1272;29454;4033;9806;2864;6466;9179;1069;3694;931;742;30983;6450;11656;4163;6428;5794;772;4721;1060;530;
1414000;"Powiat nowodworski";68568;15264;25271;8716;14332;13978;2148;8562;2044;1301;33172;5858;12206;3867;7661;8216;1246;3852;1077;717;35396;9406;13065;4849;6671;5762;902;4710;967;584;
1415000;"Powiat ostrołęcki";73809;12751;23655;7320;15004;16267;2508;14168;2967;1493;37331;4544;11753;3124;8198;10419;1516;6906;1382;811;36478;8207;11902;4196;6806;5848;992;7262;1585;682;
1416000;"Powiat ostrowski";60525;10505;20934;5475;14225;14128;1881;10067;2064;946;29730;3742;9871;1978;7558;8797;1074;4697;1034;515;30795;6763;11063;3497;6667;5331;807;5370;1030;431;
1417000;"Powiat otwocki";107544;30327;38985;13685;21128;18915;3026;10750;3515;2026;51055;11548;18726;6013;11453;11030;1738;5116;1773;1124;56489;18779;20259;7672;9675;7885;1288;5634;1742;902;
1418000;"Powiat piaseczyński";172906;64674;58014;22835;28282;20799;5043;15225;5790;3361;82179;26781;28349;10408;15757;12318;2832;7158;2988;1753;90727;37893;29665;12427;12525;8481;2211;8067;2802;1608;
1419000;"Powiat płocki";94614;17269;30505;10032;17751;23276;3158;15617;3438;1351;46787;6490;14676;3741;10149;14157;1898;7043;1740;783;47827;10779;15829;6291;7602;9119;1260;8574;1698;568;
1420000;"Powiat płoński";73645;12678;24248;10051;12226;17716;2475;13009;2456;1063;36035;4680;11415;4199;6609;10482;1444;6143;1252;619;37610;7998;12833;5852;5617;7234;1031;6866;1204;444;
1421000;"Powiat pruszkowski";148946;53727;53401;20276;26979;18083;3919;12154;4589;3073;70059;22032;25623;8766;14938;10624;2281;5501;2334;1664;78887;31695;27778;11510;12041;7459;1638;6653;2255;1409;
1422000;"Powiat przasnyski";42802;7625;15002;5136;8437;9005;1436;7422;1605;707;21181;2812;7209;2094;4664;5632;853;3518;766;391;21621;4813;7793;3042;3773;3373;583;3904;839;316;
1423000;"Powiat przysuski";34462;5707;11107;3651;6798;8517;954;6369;1391;417;16989;1970;5473;1474;3811;5154;529;3036;597;230;17473;3737;5634;2177;2987;3363;425;3333;794;187;
1424000;"Powiat pułtuski";43456;8691;14845;5395;8299;9907;1442;6461;1496;614;21277;3130;7184;2211;4655;5953;837;3080;736;357;22179;5561;7661;3184;3644;3954;605;3381;760;257;
1425000;"Powiat radomski";128392;25467;42189;12801;26821;29323;4640;20105;4421;2247;63410;9498;20416;5022;14761;17390;2769;9829;2246;1262;64982;15969;21773;7779;12060;11933;1871;10276;2175;985;
1426000;"Powiat siedlecki";68160;12364;21873;7591;12737;17085;2167;11117;2602;952;34095;4325;10734;3215;7051;10584;1253;5344;1299;556;34065;8039;11139;4376;5686;6501;914;5773;1303;396;
1427000;"Powiat sierpecki";42831;7238;14447;4000;9363;10424;1495;7224;1333;670;21035;2609;6873;1424;5096;6335;894;3272;650;402;21796;4629;7574;2576;4267;4089;601;3952;683;268;
1428000;"Powiat sochaczewski";71942;14959;26570;8725;15799;15595;2163;9542;2229;884;34757;5579;12688;3357;8719;9274;1235;4336;1127;518;37185;9380;13882;5368;7080;6321;928;5206;1102;366;
1429000;"Powiat sokołowski";44773;8327;14755;4466;9222;11376;1101;7174;1415;625;22058;3021;7031;1856;4841;7037;653;3291;698;327;22715;5306;7724;2610;4381;4339;448;3883;717;298;
1430000;"Powiat szydłowiecki";33025;5826;10995;3561;6611;8624;906;4990;1066;618;16357;2022;5254;1277;3772;5378;559;2270;543;331;16668;3804;5741;2284;2839;3246;347;2720;523;287;
1432000;"Powiat warszawski zachodni";109101;38456;37052;13698;19622;14817;3157;10238;3656;1725;52187;16089;18078;6089;10750;8703;1793;4723;1862;939;56914;22367;18974;7609;8872;6114;1364;5515;1794;786;
1433000;"Powiat węgrowski";54110;8455;18281;7420;9115;14086;1552;9186;1832;718;26752;2813;8938;3187;5206;8527;923;4266;866;419;27358;5642;9343;4233;3909;5559;629;4920;966;299;
1434000;"Powiat wołomiński";222058;63613;80128;32075;40776;36664;6730;23648;7376;3899;106525;23879;39819;14601;22862;21666;3885;11300;3757;2219;115533;39734;40309;17474;17914;14998;2845;12348;3619;1680;
1435000;"Powiat wyszkowski";62377;12143;21188;6628;12969;14712;1932;9266;2208;928;30671;4232;10116;2636;7030;9055;1172;4474;1114;508;31706;7911;11072;3992;5939;5657;760;4792;1094;420;
1436000;"Powiat zwoleński";30116;5046;9638;3144;5841;7390;961;5665;989;427;14925;1808;4567;1245;3139;4538;578;2677;511;246;15191;3238;5071;1899;2702;2852;383;2988;478;181;
1437000;"Powiat żuromiński";31723;4871;9918;3288;5820;7688;1043;6499;1312;392;15579;1758;4695;1242;3198;4781;630;2891;605;219;16144;3113;5223;2046;2622;2907;413;3608;707;173;
1438000;"Powiat żyrardowski";65239;14578;23677;8904;12537;13431;1908;8480;1935;1230;30957;5376;11133;3457;7009;7720;1079;3964;984;701;34282;9202;12544;5447;5528;5711;829;4516;951;529;
1461000;"City with powiat status Ostrołęka";43126;12079;16514;5397;9543;6866;1144;4189;1172;1162;20247;4603;7641;2246;4986;4219;656;1949;576;603;22879;7476;8873;3151;4557;2647;488;2240;596;559;
1462000;"City with powiat status Płock";100722;27585;38139;12535;20746;17868;2582;9441;2671;2436;46691;10920;17384;4744;11247;10352;1476;3875;1344;1340;54031;16665;20755;7791;9499;7516;1106;5566;1327;1096;
1463000;"City with powiat status Radom";176775;51159;62902;21529;35580;29927;4833;18561;4858;4535;82682;20623;28616;8269;18856;17126;2875;8489;2472;2481;94093;30536;34286;13260;16724;12801;1958;10072;2386;2054;
1464000;"City with powiat status Siedlce";65025;21669;23446;8532;12361;9993;1532;5190;1866;1329;30350;8416;10918;3603;6581;6078;901;2365;950;722;34675;13253;12528;4929;5780;3915;631;2825;916;607;
1465000;"City with powiat status Capital City Warszawa";1608993;763230;514590;217732;229607;134016;33469;91159;35324;37205;728825;320799;236948;96227;119483;74420;18477;41075;18030;19076;880168;442431;277642;121505;110124;59596;14992;50084;17294;18129;
1601000;"Powiat brzeski";76537;14802;28739;7992;18037;17081;2196;8867;2435;2417;37036;5844;13196;3275;9155;10388;1254;3827;1214;1313;39501;8958;15543;4717;8882;6693;942;5040;1221;1104;
1602000;"Powiat głubczycki";38919;6301;13177;4420;7383;10164;1188;5821;1127;1141;19007;2417;6074;1836;3848;6315;649;2395;538;619;19912;3884;7103;2584;3535;3849;539;3426;589;522;
1603000;"Powiat kędzierzyńsko-kozielski";78943;15135;27001;8243;16213;20713;2205;9138;2109;2642;37629;5962;12332;3089;8564;12285;1212;3505;1062;1271;41314;9173;14669;5154;7649;8428;993;5633;1047;1371;
1604000;"Powiat kluczborski";55467;9627;19458;5149;12278;14525;1541;7110;1500;1706;26843;3645;9038;1981;6427;8741;897;2872;782;868;28624;5982;10420;3168;5851;5784;644;4238;718;838;
1605000;"Powiat krapkowicki";53313;9493;15895;5055;9254;15974;1423;7169;1382;1977;25609;3588;7287;1976;4835;9568;828;2690;699;949;27704;5905;8608;3079;4419;6406;595;4479;683;1028;
1606000;"Powiat namysłowski";36592;6394;12723;3782;7767;9531;1030;4839;1134;941;17698;2467;5918;1652;3899;5629;593;2032;562;497;18894;3927;6805;2130;3868;3902;437;2807;572;444;
1607000;"Powiat nyski";116471;21499;41824;13347;24127;29605;3042;13547;3166;3788;56175;8224;18970;5252;12396;17996;1717;5703;1553;2012;60296;13275;22854;8095;11731;11609;1325;7844;1613;1776;
1608000;"Powiat oleski";54562;9215;17524;4780;10866;16263;1300;7113;1465;1682;26325;3466;8030;1698;5844;9806;720;2732;768;803;28237;5749;9494;3082;5022;6457;580;4381;697;879;
1609000;"Powiat opolski";105701;21503;32527;10586;18902;30423;2744;12091;2770;3643;51115;8194;15314;4216;10227;18487;1527;4384;1392;1817;54586;13309;17213;6370;8675;11936;1217;7707;1378;1826;
1610000;"Powiat prudnicki";46526;8033;15446;4794;9043;13176;1179;5861;1356;1475;22193;2962;7054;1944;4615;7787;620;2342;667;761;24333;5071;8392;2850;4428;5389;559;3519;689;714;
1611000;"Powiat strzelecki";63133;11018;19315;5361;12182;19222;1681;8078;1640;2179;30667;4270;9026;2022;6514;11510;915;3000;874;1072;32466;6748;10289;3339;5668;7712;766;5078;766;1107;
1661000;"City with powiat status Opole";112033;40725;39045;14536;20185;16296;2413;7511;2669;3374;51702;16960;17451;5883;10300;9854;1373;3102;1291;1671;60331;23765;21594;8653;9885;6442;1040;4409;1378;1703;
1801000;"Powiat bieszczadzki";18363;3351;6306;2163;3395;4308;508;2765;511;614;9025;1318;2938;856;1854;2582;294;1295;264;334;9338;2033;3368;1307;1541;1726;214;1470;247;280;
1802000;"Powiat brzozowski";55072;9548;18052;4467;12028;13866;1716;8995;1751;1144;27017;3426;8580;1567;6591;8727;1012;3806;859;607;28055;6122;9472;2900;5437;5139;704;5189;892;537;
1803000;"Powiat dębicki";114327;21486;41489;12193;25898;27249;3057;14876;3413;2757;56131;8297;19721;4583;14165;16533;1725;6685;1735;1435;58196;13189;21768;7610;11733;10716;1332;8191;1678;1322;
1804000;"Powiat jarosławski";101790;20221;35343;10155;22656;23803;2998;13997;3032;2396;49341;7664;16635;3985;11897;14304;1668;6326;1492;1252;52449;12557;18708;6170;10759;9499;1330;7671;1540;1144;
1805000;"Powiat jasielski";96522;18028;33138;9126;20236;25530;2675;12503;2665;1983;47048;7179;14966;3551;10321;15806;1495;5261;1328;1013;49474;10849;18172;5575;9915;9724;1180;7242;1337;970;
1806000;"Powiat kolbuszowski";53247;8833;17928;5298;11156;13845;1586;7794;1649;1612;26322;3185;8513;1985;6142;8410;895;3700;810;809;26925;5648;9415;3313;5014;5435;691;4094;839;803;
1807000;"Powiat krośnieński";94676;18420;33017;9374;20259;24013;2628;11891;2977;1730;46347;7186;15539;3393;11287;14807;1539;4842;1524;910;48329;11234;17478;5981;8972;9206;1089;7049;1453;820;
1808000;"Powiat leżajski";58700;10940;19559;6568;10916;15350;1588;7655;1885;1723;28830;4171;9210;2394;6220;9374;917;3345;923;890;29870;6769;10349;4174;4696;5976;671;4310;962;833;
1809000;"Powiat lubaczowski";46969;8574;15402;5258;8857;11567;1306;7523;1564;1033;23230;3276;7278;2198;4719;7168;773;3489;723;523;23739;5298;8124;3060;4138;4399;533;4034;841;510;
1810000;"Powiat łańcucki";68608;15617;25359;7065;15941;14772;2071;7645;2107;1037;33416;5925;12074;2844;8562;9044;1249;3569;1013;542;35192;9692;13285;4221;7379;5728;822;4076;1094;495;
1811000;"Powiat mielecki";115188;22749;39988;12213;24295;31068;3041;12131;3377;2834;56240;8736;18843;4678;13213;18478;1742;5279;1705;1457;58948;14013;21145;7535;11082;12590;1299;6852;1672;1377;
1812000;"Powiat niżański";56678;10141;18931;6098;11002;14109;1562;8372;1698;1865;27836;3864;8859;2060;6355;8680;933;3760;801;939;28842;6277;10072;4038;4647;5429;629;4612;897;926;
1813000;"Powiat przemyski";61906;10695;21526;6719;13212;14915;1929;9480;2026;1335;30913;3945;10531;2766;7318;9465;1133;4073;1035;731;30993;6750;10995;3953;5894;5450;796;5407;991;604;
1814000;"Powiat przeworski";66100;12346;23836;6554;15546;15499;1968;9402;2072;977;32315;4525;11470;2455;8513;9628;1148;3991;1045;508;33785;7821;12366;4099;7033;5871;820;5411;1027;469;
1815000;"Powiat ropczycko-sędziszowski";62585;11280;23714;5808;16189;13544;2000;8895;2021;1131;30749;4240;11479;2018;9011;8335;1138;4073;972;512;31836;7040;12235;3790;7178;5209;862;4822;1049;619;
1816000;"Powiat rzeszowski";145699;33391;50279;15702;30450;32503;4129;17985;4767;2645;71439;13015;24248;6004;17083;20146;2360;7974;2326;1370;74260;20376;26031;9698;13367;12357;1769;10011;2441;1275;
1817000;"Powiat sanocki";79551;16413;28506;7696;17967;18284;2198;9832;2292;2026;38580;6484;13543;2752;9939;10949;1209;4217;1131;1047;40971;9929;14963;4944;8028;7335;989;5615;1161;979;
1818000;"Powiat stalowowolski";90549;20096;32570;10155;19185;18895;2330;10972;2352;3334;43650;8146;15165;3748;10523;11351;1350;4770;1183;1685;46899;11950;17405;6407;8662;7544;980;6202;1169;1649;
1819000;"Powiat strzyżowski";52142;9170;17485;5393;10427;13931;1465;7415;1673;1003;25733;3377;8008;1969;5608;8938;865;3226;830;489;26409;5793;9477;3424;4819;4993;600;4189;843;514;
1820000;"Powiat tarnobrzeski";45261;8096;15783;5067;9407;11260;1173;6478;1262;1209;22045;2954;7567;1911;5277;6759;645;2843;629;648;23216;5142;8216;3156;4130;4501;528;3635;633;561;
1821000;"Powiat leski";22650;4298;7905;2249;4944;4929;609;3670;653;586;11125;1714;3743;812;2707;2984;361;1713;328;282;11525;2584;4162;1437;2237;1945;248;1957;325;304;
1861000;"City with powiat status Krosno";39545;11962;15224;4800;8239;6586;1019;2734;977;1043;18407;5030;6773;1772;4399;3853;543;1145;515;548;21138;6932;8451;3028;3840;2733;476;1589;462;495;
1862000;"City with powiat status Przemyśl";51723;14350;20656;7517;10804;8157;1256;4354;1340;1610;23867;5863;9292;2997;5610;4687;713;1826;696;790;27856;8487;11364;4520;5194;3470;543;2528;644;820;
1863000;"City with powiat status Rzeszów";167258;69345;57341;21395;29543;19818;3395;9799;3872;3688;78397;30035;26820;8869;16178;11486;1948;4268;1958;1882;88861;39310;30521;12526;13365;8332;1447;5531;1914;1806;
1864000;"City with powiat status Tarnobrzeg";40019;10752;15462;4995;8869;7375;860;3478;1063;1029;18853;4295;7224;1828;4967;4364;484;1431;559;496;21166;6457;8238;3167;3902;3011;376;2047;504;533;
2001000;"Powiat augustowski";48739;9281;17027;5179;10184;9681;1451;7977;1695;1627;23621;3497;8059;2073;5510;5912;821;3712;822;798;25118;5784;8968;3106;4674;3769;630;4265;873;829;
2002000;"Powiat białostocki";131163;32272;46165;14361;26874;23844;3659;17043;4577;3603;64256;12740;22492;5673;15490;14648;2121;8140;2182;1933;66907;19532;23673;8688;11384;9196;1538;8903;2395;1670;
2003000;"Powiat bielski";45796;8835;16289;4720;9929;8276;1355;8200;1908;933;22388;3363;7597;1856;5190;5399;776;3875;860;518;23408;5472;8692;2864;4739;2877;579;4325;1048;415;
2004000;"Powiat grajewski";39447;6339;13867;4263;8222;7678;1362;7433;1267;1501;19340;2305;6334;1594;4364;5012;793;3454;646;796;20107;4034;7533;2669;3858;2666;569;3979;621;705;
2005000;"Powiat hajnowski";36073;6969;13495;4181;7910;6554;831;6027;1455;742;17305;2815;6333;1611;4352;4123;517;2601;529;387;18768;4154;7162;2570;3558;2431;314;3426;926;355;
2006000;"Powiat kolneński";31490;4982;9538;3174;5517;6874;1090;6875;1135;996;15714;1781;4533;1170;3117;4298;614;3411;561;516;15776;3201;5005;2004;2400;2576;476;3464;574;480;
2007000;"Powiat łomżyński";42751;7056;12927;4058;8007;9476;1471;8819;1623;1379;21530;2635;6274;1600;4410;5857;883;4366;760;755;21221;4421;6653;2458;3597;3619;588;4453;863;624;
2008000;"Powiat moniecki";33723;4986;11087;4272;5713;6887;1090;7200;1168;1305;16635;1793;5268;1759;3163;4309;634;3448;548;635;17088;3193;5819;2513;2550;2578;456;3752;620;670;
2009000;"Powiat sejneński";16844;3262;5970;2314;2998;2455;482;3593;697;385;8308;1184;2921;854;1867;1676;290;1735;294;208;8536;2078;3049;1460;1131;779;192;1858;403;177;
2010000;"Powiat siemiatycki";37208;6194;12710;3688;8041;7251;1001;7787;1306;959;18162;2370;5922;1504;4118;4473;598;3784;536;479;19046;3824;6788;2184;3923;2778;403;4003;770;480;
2011000;"Powiat sokólski";55778;9146;20855;5826;13082;9939;1639;10553;1983;1663;27401;3561;10288;2341;7397;6112;945;4804;818;873;28377;5585;10567;3485;5685;3827;694;5749;1165;790;
2012000;"Powiat suwalski";29839;5034;9625;2522;6429;5706;1139;6473;1254;608;15226;1906;4795;963;3632;3708;701;3203;584;329;14613;3128;4830;1559;2797;1998;438;3270;670;279;
2013000;"Powiat wysokomazowiecki";47162;8194;16708;4441;10788;9886;1275;8298;1671;1130;23636;3097;8221;1746;6030;6216;751;3932;832;587;23526;5097;8487;2695;4758;3670;524;4366;839;543;
2014000;"Powiat zambrowski";36566;6688;12044;4162;6715;8130;1039;6239;1235;1191;18045;2488;5688;1709;3639;4921;628;3049;624;647;18521;4200;6356;2453;3076;3209;411;3190;611;544;
2061000;"City with powiat status Białystok";255358;88688;93504;33148;48230;34055;5710;20247;6392;6762;118027;35763;43498;14017;26134;19585;3330;9223;3166;3462;137331;52925;50006;19131;22096;14470;2380;11024;3226;3300;
2062000;"City with powiat status Łomża";52982;14708;19179;6295;10885;9278;1277;5177;1405;1958;25003;5854;8588;2565;5419;5605;744;2468;720;1024;27979;8854;10591;3730;5466;3673;533;2709;685;934;
2063000;"City with powiat status Suwałki";59449;15210;21992;7249;12309;9602;1917;6952;1905;1871;28077;5794;9991;2774;6533;5951;1122;3323;912;984;31372;9416;12001;4475;5776;3651;795;3629;993;887;
2201000;"Powiat bytowski";65028;10102;19800;6789;11423;18104;2265;10628;2280;1849;32156;3543;8919;2654;5761;11508;1264;4798;1172;952;32872;6559;10881;4135;5662;6596;1001;5830;1108;897;
2202000;"Powiat chojnicki";81204;13094;25545;8923;14226;24167;2572;10857;2755;2214;39695;4824;11547;3440;7426;14914;1447;4294;1454;1215;41509;8270;13998;5483;6800;9253;1125;6563;1301;999;
2203000;"Powiat człuchowski";46684;7062;15031;5316;8469;12456;1701;7357;1614;1463;22896;2610;6888;2232;4298;7618;985;3199;808;788;23788;4452;8143;3084;4171;4838;716;4158;806;675;
2204000;"Powiat gdański";104588;28618;34835;12458;18734;19343;3830;11564;3514;2884;51128;11390;17019;5193;10639;11895;2226;5254;1735;1609;53460;17228;17816;7265;8095;7448;1604;6310;1779;1275;
2205000;"Powiat kartuski";118078;24694;36548;15049;18326;29196;4370;16522;4378;2370;58461;9139;17311;6448;9813;18653;2463;7308;2289;1298;59617;15555;19237;8601;8513;10543;1907;9214;2089;1072;
2206000;"Powiat kościerski";60245;9426;19361;5647;12347;17879;2076;7996;2190;1317;29811;3294;9126;2381;6284;11079;1155;3285;1147;725;30434;6132;10235;3266;6063;6800;921;4711;1043;592;
2207000;"Powiat kwidzyński";69490;11320;24019;7526;14348;16605;2459;9722;2612;2753;34094;4370;10997;2934;7367;10365;1403;4119;1343;1497;35396;6950;13022;4592;6981;6240;1056;5603;1269;1256;
2208000;"Powiat lęborski";54757;9912;18124;6335;9986;13191;1886;8076;1811;1757;26640;3687;8258;2745;4963;8125;1072;3606;931;961;28117;6225;9866;3590;5023;5066;814;4470;880;796;
2209000;"Powiat malborski";53468;9695;18617;6510;10358;12564;1798;7414;1762;1618;25875;3810;8526;2578;5417;7600;1036;3127;887;889;27593;5885;10091;3932;4941;4964;762;4287;875;729;
2210000;"Powiat nowodworski";29635;4503;9782;3380;5469;7762;1056;4533;1002;997;14646;1622;4497;1331;2905;4809;600;2072;503;543;14989;2881;5285;2049;2564;2953;456;2461;499;454;
2211000;"Powiat pucki";75072;15773;24849;9007;13314;17292;2531;10320;2458;1849;36900;6264;11860;3788;7255;10820;1449;4172;1322;1013;38172;9509;12989;5219;6059;6472;1082;6148;1136;836;
2212000;"Powiat słupski";82381;14489;25417;8440;14794;20394;3206;13400;3154;2321;40925;5676;12104;3410;8022;12431;1765;6052;1600;1297;41456;8813;13313;5030;6772;7963;1441;7348;1554;1024;
2213000;"Powiat starogardzki";106157;17205;34727;11646;20076;29310;3647;14643;3628;2997;52038;6342;15838;4949;9931;18069;2104;6139;1868;1678;54119;10863;18889;6697;10145;11241;1543;8504;1760;1319;
2214000;"Powiat tczewski";95979;16627;31831;11929;16847;25735;3414;12186;3355;2831;46738;6444;14583;4949;8669;15421;1944;5048;1744;1554;49241;10183;17248;6980;8178;10314;1470;7138;1611;1277;
2215000;"Powiat wejherowski";186420;41582;61325;23567;30968;42217;6981;22885;6047;5383;91218;16153;29188;10032;17075;25698;3950;10088;3128;3013;95202;25429;32137;13535;13893;16519;3031;12797;2919;2370;
2216000;"Powiat sztumski";33963;4701;10891;3749;6157;8990;1240;5590;1198;1353;16862;1732;5026;1543;3191;5632;699;2364;650;759;17101;2969;5865;2206;2966;3358;541;3226;548;594;
2261000;"City with powiat status Gdańsk";425120;162649;143313;56974;68877;56781;9687;30089;9619;12982;198648;68276;66287;23776;37004;33644;5490;13074;5012;6865;226472;94373;77026;33198;31873;23137;4197;17015;4607;6117;
2262000;"City with powiat status Gdynia";216211;76419;75245;28384;36694;32160;5217;15724;4922;6524;100577;32691;34091;11711;19211;18445;2896;6497;2508;3449;115634;43728;41154;16673;17483;13715;2321;9227;2414;3075;
