"Code";"Name";"total;total;numerical data;2010;[%]";"total;total;numerical data;2011;[%]";"total;total;numerical data;2012;[%]";"total;total;numerical data;2013;[%]";"total;total;numerical data;2014;[%]";"total;total;numerical data;2015;[%]";"total;total;numerical data;2016;[%]";"total;total;numerical data;2017;[%]";"total;total;numerical data;2018;[%]";"total;total;numerical data;2019;[%]";"total;total;numerical data;2020;[%]";"total;total;numerical data;2021;[%]";"total;total;numerical data;2022;[%]";"total;total;numerical data;2023;[%]";"total;total;numerical data;2024;[%]";"15-24;total;numerical data;2010;[%]";"15-24;total;numerical data;2011;[%]";"15-24;total;numerical data;2012;[%]";"15-24;total;numerical data;2013;[%]";"15-24;total;numerical data;2014;[%]";"15-24;total;numerical data;2015;[%]";"15-24;total;numerical data;2016;[%]";"15-24;total;numerical data;2017;[%]";"15-24;total;numerical data;2018;[%]";"15-24;total;numerical data;2019;[%]";"15-24;total;numerical data;2020;[%]";"15-24;total;numerical data;2021;[%]";"15-24;total;numerical data;2022;[%]";"15-24;total;numerical data;2023;[%]";"15-24;total;numerical data;2024;[%]";"15-64;total;numerical data;2010;[%]";"15-64;total;numerical data;2011;[%]";"15-64;total;numerical data;2012;[%]";"15-64;total;numerical data;2013;[%]";"15-64;total;numerical data;2014;[%]";"15-64;total;numerical data;2015;[%]";"15-64;total;numerical data;2016;[%]";"15-64;total;numerical data;2017;[%]";"15-64;total;numerical data;2018;[%]";"15-64;total;numerical data;2019;[%]";"15-64;total;numerical data;2020;[%]";"15-64;total;numerical data;2021;[%]";"15-64;total;numerical data;2022;[%]";"15-64;total;numerical data;2023;[%]";"15-64;total;numerical data;2024;[%]";"20-24;total;numerical data;2010;[%]";"20-24;total;numerical data;2011;[%]";"20-24;total;numerical data;2012;[%]";"20-24;total;numerical data;2013;[%]";"20-24;total;numerical data;2014;[%]";"20-24;total;numerical data;2015;[%]";"20-24;total;numerical data;2016;[%]";"20-24;total;numerical data;2017;[%]";"20-24;total;numerical data;2018;[%]";"20-24;total;numerical data;2019;[%]";"20-24;total;numerical data;2020;[%]";"20-24;total;numerical data;2021;[%]";"20-24;total;numerical data;2022;[%]";"20-24;total;numerical data;2023;[%]";"20-24;total;numerical data;2024;[%]";"20-64;total;numerical data;2010;[%]";"20-64;total;numerical data;2011;[%]";"20-64;total;numerical data;2012;[%]";"20-64;total;numerical data;2013;[%]";"20-64;total;numerical data;2014;[%]";"20-64;total;numerical data;2015;[%]";"20-64;total;numerical data;2016;[%]";"20-64;total;numerical data;2017;[%]";"20-64;total;numerical data;2018;[%]";"20-64;total;numerical data;2019;[%]";"20-64;total;numerical data;2020;[%]";"20-64;total;numerical data;2021;[%]";"20-64;total;numerical data;2022;[%]";"20-64;total;numerical data;2023;[%]";"20-64;total;numerical data;2024;[%]";"55-64;total;numerical data;2010;[%]";"55-64;total;numerical data;2011;[%]";"55-64;total;numerical data;2012;[%]";"55-64;total;numerical data;2013;[%]";"55-64;total;numerical data;2014;[%]";"55-64;total;numerical data;2015;[%]";"55-64;total;numerical data;2016;[%]";"55-64;total;numerical data;2017;[%]";"55-64;total;numerical data;2018;[%]";"55-64;total;numerical data;2019;[%]";"55-64;total;numerical data;2020;[%]";"55-64;total;numerical data;2021;[%]";"55-64;total;numerical data;2022;[%]";"55-64;total;numerical data;2023;[%]";"55-64;total;numerical data;2024;[%]";"18-59/64;total;numerical data;2010;[%]";"18-59/64;total;numerical data;2011;[%]";"18-59/64;total;numerical data;2012;[%]";"18-59/64;total;numerical data;2013;[%]";"18-59/64;total;numerical data;2014;[%]";"18-59/64;total;numerical data;2015;[%]";"18-59/64;total;numerical data;2016;[%]";"18-59/64;total;numerical data;2017;[%]";"18-59/64;total;numerical data;2018;[%]";"18-59/64;total;numerical data;2019;[%]";"18-59/64;total;numerical data;2020;[%]";"18-59/64;total;numerical data;2021;[%]";"18-59/64;total;numerical data;2022;[%]";"18-59/64;total;numerical data;2023;[%]";"18-59/64;total;numerical data;2024;[%]";"50-89;total;numerical data;2010;[%]";"50-89;total;numerical data;2011;[%]";"50-89;total;numerical data;2012;[%]";"50-89;total;numerical data;2013;[%]";"50-89;total;numerical data;2014;[%]";"50-89;total;numerical data;2015;[%]";"50-89;total;numerical data;2016;[%]";"50-89;total;numerical data;2017;[%]";"50-89;total;numerical data;2018;[%]";"50-89;total;numerical data;2019;[%]";"50-89;total;numerical data;2020;[%]";"50-89;total;numerical data;2021;[%]";"50-89;total;numerical data;2022;[%]";"50-89;total;numerical data;2023;[%]";"50-89;total;numerical data;2024;[%]";
0200000;"DOLNOŚLĄSKIE";53.9;53.3;53.8;54.0;55.2;55.5;56.8;56.4;56.5;58.5;58.2;59.4;59.3;60.0;60.2;37.5;33.9;33.2;32.5;33.3;32.9;34.9;33.5;35.5;37.2;34.9;31.6;36.7;38.9;38.6;;;;;;;;;;73.1;73.1;74.7;75.1;76.7;77.7;;;;;;;;;;62.1;59.9;60.0;62.8;71.8;68.3;;;;;;;;;;77.6;77.8;80.0;79.7;81.8;82.8;;;;;;;;;;51.2;53.0;56.5;56.2;59.3;59.8;70.6;70.6;71.4;72.2;74.0;74.5;75.7;75.9;76.5;79.3;79.1;81.6;81.9;83.7;84.5;31.8;32.1;33.2;32.5;32.6;33.3;34.3;33.9;33.6;33.6;33.7;35.2;35.7;36.3;35.1;
0400000;"KUJAWSKO-POMORSKIE";53.8;53.7;55.7;55.3;54.9;55.1;55.4;54.9;55.3;55.7;55.4;57.7;58.4;58.1;58.6;36.2;32.0;35.3;35.4;36.1;34.9;36.6;36.7;36.4;37.4;32.5;30.9;30.7;27.9;35.6;;;;;;;;;;69.3;69.1;72.7;73.9;74.3;75.5;;;;;;;;;;64.7;55.4;57.4;59.3;55.6;65.2;;;;;;;;;;74.1;73.9;78.2;80.0;80.9;81.5;;;;;;;;;;48.0;47.4;55.1;57.3;58.9;61.7;68.9;69.9;71.8;71.9;72.1;72.3;73.6;73.5;74.8;76.0;75.6;79.5;81.4;82.0;82.6;30.1;30.8;33.5;33.5;33.4;33.5;33.4;33.2;33.5;32.8;32.7;36.1;36.9;37.3;37.8;
0600000;"LUBELSKIE";52.9;53.8;54.1;53.9;54.5;54.7;53.8;53.9;54.7;53.4;53.8;56.4;57.1;56.5;56.3;28.4;31.0;30.5;29.7;28.5;26.1;32.1;32.4;32.2;30.7;28.4;29.4;31.2;31.8;31.8;;;;;;;;;;67.4;68.2;71.5;73.0;73.1;73.3;;;;;;;;;;54.2;51.4;52.0;57.4;61.3;60.0;;;;;;;;;;72.5;73.6;77.0;78.8;79.4;79.5;;;;;;;;;;47.1;51.3;56.7;59.3;60.2;61.5;68.5;69.7;71.0;70.9;72.4;72.8;72.4;73.0;74.7;73.9;75.0;78.3;79.7;80.0;80.2;31.3;32.4;32.4;32.8;33.9;34.7;32.8;33.1;33.0;32.6;34.0;35.7;36.7;35.2;35.9;
0800000;"LUBUSKIE";55.2;54.5;53.3;54.0;53.7;54.5;55.7;55.7;55.3;55.6;55.8;56.0;56.7;57.7;56.6;35.4;30.9;31.6;30.6;29.2;28.0;33.0;34.7;34.0;31.2;29.3;27.5;26.4;27.2;31.2;;;;;;;;;;69.0;69.7;70.1;71.3;73.3;72.8;;;;;;;;;;55.1;52.1;50.0;52.3;53.5;62.5;;;;;;;;;;73.6;74.4;75.0;77.1;79.4;79.2;;;;;;;;;;50.0;53.0;52.7;56.3;60.0;61.6;70.0;69.6;68.7;70.2;70.9;72.3;73.4;74.2;74.6;75.3;76.1;76.9;78.3;80.6;79.9;32.3;31.8;31.4;33.1;33.4;34.2;35.2;34.4;34.0;33.6;33.9;33.8;35.9;37.3;36.4;
1000000;"ŁÓDZKIE";54.6;55.4;55.2;56.2;57.0;56.2;56.1;57.2;57.3;55.4;56.0;57.9;59.1;58.4;56.9;35.8;33.6;31.9;34.4;36.5;34.2;35.7;37.1;38.3;34.5;33.0;33.2;35.8;39.5;33.8;;;;;;;;;;70.9;72.0;74.2;76.0;76.0;74.4;;;;;;;;;;59.3;59.8;58.3;64.3;66.9;65.7;;;;;;;;;;75.6;77.1;79.2;81.3;81.0;80.4;;;;;;;;;;49.7;54.4;57.4;60.3;60.0;62.0;71.9;72.8;73.5;74.2;75.3;74.7;76.0;78.0;79.4;78.0;79.2;81.4;83.5;82.8;81.8;30.3;31.9;32.7;34.0;35.2;33.7;33.5;34.7;34.5;32.3;33.4;35.5;37.1;35.9;36.7;
1200000;"MAŁOPOLSKIE";49.8;50.5;51.3;52.1;52.6;52.5;53.4;53.7;53.9;55.1;55.0;57.3;57.0;57.6;58.3;31.8;31.3;32.3;33.0;32.9;31.3;31.5;28.3;32.7;36.3;31.5;27.5;29.1;29.9;32.5;;;;;;;;;;67.9;67.8;70.6;70.4;71.8;73.2;;;;;;;;;;61.7;52.7;50.0;51.5;53.6;54.6;;;;;;;;;;72.8;72.7;76.2;75.8;77.3;78.4;;;;;;;;;;45.5;49.1;52.6;52.5;55.1;56.7;66.0;66.8;67.5;68.7;69.3;69.2;70.8;71.4;72.3;74.0;73.4;77.0;76.7;78.3;79.1;26.1;27.2;28.1;28.9;29.7;30.7;30.5;32.1;31.1;31.1;32.8;35.1;33.7;34.8;35.7;
1400000;"MAZOWIECKIE";57.4;58.7;59.7;59.1;61.0;60.7;59.5;60.2;60.7;60.9;60.7;62.6;63.0;63.5;63.8;35.3;35.9;34.5;31.4;36.1;34.4;34.5;34.7;34.3;35.5;33.0;33.9;33.1;32.5;34.3;;;;;;;;;;74.7;74.7;77.2;78.1;78.9;79.3;;;;;;;;;;62.5;58.4;57.6;59.8;60.3;62.3;;;;;;;;;;80.0;80.0;82.2;83.8;84.8;85.3;;;;;;;;;;58.6;60.8;63.8;66.2;68.1;68.4;74.1;75.3;77.1;77.2;78.7;78.6;78.6;79.8;81.0;81.0;80.6;83.3;84.6;85.2;85.4;34.4;36.0;37.5;37.5;38.2;37.5;36.8;37.5;38.1;37.6;38.2;40.5;40.5;40.6;41.5;
1600000;"OPOLSKIE";52.5;53.0;54.0;53.4;53.8;54.2;54.7;55.9;56.0;55.9;56.0;58.9;57.6;57.5;57.5;36.9;36.6;37.3;34.4;34.3;32.4;36.4;39.4;38.2;36.5;33.3;33.7;29.6;34.6;30.9;;;;;;;;;;70.8;71.3;74.9;73.3;73.8;74.5;;;;;;;;;;57.8;53.3;62.5;50.0;64.1;62.9;;;;;;;;;;75.0;75.4;80.1;78.3;78.9;80.4;;;;;;;;;;52.3;55.0;59.8;57.4;57.9;56.9;69.9;70.9;72.2;72.1;72.4;73.6;74.1;75.6;77.0;77.3;77.5;82.1;80.6;81.2;83.0;29.8;31.3;32.4;31.9;33.0;33.2;33.3;35.1;34.4;33.7;34.8;37.4;36.4;37.2;36.6;
1800000;"PODKARPACKIE";48.0;47.8;48.7;49.8;49.5;49.6;52.2;52.9;51.3;51.3;51.6;52.8;52.7;53.7;53.1;29.0;27.8;28.0;29.9;29.6;27.1;32.0;33.3;30.9;27.8;24.2;23.1;24.4;27.8;22.4;;;;;;;;;;64.0;64.4;66.2;66.6;68.5;68.4;;;;;;;;;;50.9;43.6;44.3;44.8;46.4;44.4;;;;;;;;;;69.2;69.7;71.8;72.0;73.6;74.5;;;;;;;;;;44.9;47.1;50.0;51.2;53.5;55.8;62.8;62.7;64.4;65.9;66.5;66.4;69.7;70.7;69.4;70.2;70.6;72.5;72.7;74.6;75.6;24.7;25.5;26.3;26.7;26.9;28.0;30.4;30.8;29.8;29.8;31.2;33.2;32.9;33.2;33.2;
2000000;"PODLASKIE";52.6;53.5;54.1;54.2;54.7;54.1;55.2;55.6;56.0;55.5;55.7;57.9;58.5;58.6;57.2;30.5;29.6;29.4;28.7;27.2;28.9;31.8;32.0;34.8;31.5;30.0;26.9;29.2;24.5;25.5;;;;;;;;;;69.6;69.6;72.9;74.2;74.5;73.2;;;;;;;;;;57.6;52.5;47.3;50.0;48.1;49.0;;;;;;;;;;74.9;74.8;78.4;79.5;80.3;79.6;;;;;;;;;;50.0;52.3;60.1;60.6;64.8;64.0;69.9;70.9;71.9;72.9;73.4;72.4;74.1;75.1;76.2;76.1;76.2;79.4;80.6;80.8;79.9;30.5;32.8;33.8;34.0;35.2;34.8;34.2;34.9;34.2;34.3;35.4;38.0;38.0;39.6;38.5;
2200000;"POMORSKIE";54.9;53.9;55.2;55.9;55.6;57.4;57.9;58.4;58.0;59.7;59.3;60.1;60.5;60.6;60.5;36.3;34.0;35.9;32.8;34.3;37.3;36.7;37.4;36.6;37.3;34.2;30.4;30.2;28.3;28.8;;;;;;;;;;73.2;72.5;74.0;75.1;75.5;75.9;;;;;;;;;;62.9;60.2;53.8;51.8;48.2;53.1;;;;;;;;;;78.2;77.9;79.4;80.6;81.2;82.0;;;;;;;;;;54.5;56.2;61.1;63.4;61.4;61.5;70.2;69.9;71.6;72.3;72.5;74.0;75.7;76.6;77.0;79.4;78.9;80.0;80.8;81.7;82.4;33.6;32.4;32.4;34.2;33.6;36.3;36.5;36.8;35.4;36.7;37.4;38.5;38.6;38.4;38.7;
2400000;"ŚLĄSKIE";52.2;53.2;53.5;53.6;53.8;53.1;53.6;53.7;53.6;53.5;53.4;55.8;55.9;56.7;55.9;33.8;33.3;33.9;35.5;34.0;31.3;34.0;33.8;33.9;36.1;32.4;33.2;33.9;35.3;29.4;;;;;;;;;;68.0;67.9;71.0;71.8;73.1;72.8;;;;;;;;;;64.2;55.9;54.7;57.3;61.4;57.4;;;;;;;;;;72.4;72.2;75.3;76.2;78.0;78.5;;;;;;;;;;39.8;41.7;48.7;48.8;50.6;52.2;68.1;69.3;69.8;70.5;71.4;70.9;72.5;73.2;74.2;74.7;74.5;76.9;78.0;79.8;79.4;27.4;29.2;29.2;29.7;30.7;30.1;29.0;29.8;28.5;27.2;28.1;31.6;31.2;32.3;33.1;
2600000;"ŚWIĘTOKRZYSKIE";53.2;53.6;54.1;52.7;52.4;53.4;53.4;53.1;51.8;51.5;52.9;55.5;56.1;55.3;54.9;33.5;33.0;35.2;34.0;33.1;35.5;34.3;35.4;34.7;30.4;30.4;28.2;28.4;26.9;30.3;;;;;;;;;;66.0;68.2;71.6;72.8;72.6;72.9;;;;;;;;;;52.5;53.4;52.8;56.0;54.0;59.2;;;;;;;;;;70.9;73.1;77.3;78.9;79.0;79.3;;;;;;;;;;48.2;51.5;57.4;60.8;62.8;61.4;69.1;69.6;70.9;70.2;69.9;70.7;72.4;72.3;71.5;72.3;74.9;78.6;79.7;79.9;80.3;31.3;32.2;32.8;30.7;31.2;32.4;32.3;32.5;30.9;30.4;32.3;35.7;36.2;36.8;35.7;
2800000;"WARMIŃSKO-MAZURSKIE";52.7;51.3;50.9;51.4;50.8;51.9;53.4;53.9;53.1;52.5;53.0;55.4;55.5;55.2;55.7;30.4;29.1;26.9;27.7;26.9;27.8;34.2;36.4;33.3;30.6;26.3;25.0;26.0;27.5;28.6;;;;;;;;;;65.0;65.7;69.5;70.0;70.5;71.4;;;;;;;;;;55.1;48.5;50.0;52.5;57.1;55.4;;;;;;;;;;69.8;70.6;75.5;76.1;76.9;77.7;;;;;;;;;;51.3;51.3;53.6;57.3;57.1;56.8;67.3;66.2;65.7;66.7;67.3;69.0;70.0;71.4;71.0;71.3;71.7;76.8;76.9;77.5;79.7;31.2;30.7;30.6;31.2;30.6;32.0;33.5;33.7;32.9;33.2;34.3;35.1;36.4;36.3;36.0;
3000000;"WIELKOPOLSKIE";57.0;56.7;56.9;57.5;57.4;57.5;58.0;59.1;59.0;59.0;58.0;60.9;60.6;60.5;59.9;41.2;39.0;37.6;38.2;39.7;39.6;37.2;39.3;39.1;41.8;36.4;41.9;37.2;37.7;34.7;;;;;;;;;;72.5;71.6;75.6;75.2;75.8;75.6;;;;;;;;;;69.7;60.0;64.5;60.6;63.2;63.9;;;;;;;;;;77.4;76.5;80.1;80.3;81.1;81.7;;;;;;;;;;51.0;50.9;57.7;58.8;61.6;63.4;71.4;71.6;72.4;73.5;74.6;75.1;75.7;77.5;78.1;79.1;78.1;82.0;81.9;82.7;82.3;32.6;33.9;33.9;33.4;32.8;34.2;35.2;35.8;34.7;34.3;33.7;36.6;37.4;37.1;37.5;
3200000;"ZACHODNIOPOMORSKIE";52.1;51.2;51.8;52.4;52.7;52.1;53.5;53.6;55.0;54.7;55.0;56.0;56.8;57.3;57.1;28.8;30.1;30.7;31.1;28.3;29.9;30.8;30.5;35.9;30.5;28.0;26.5;27.6;31.5;32.0;;;;;;;;;;68.7;69.3;70.9;72.1;73.5;74.1;;;;;;;;;;53.8;48.1;50.0;52.1;58.1;59.7;;;;;;;;;;73.3;74.1;76.1;77.5;78.8;79.7;;;;;;;;;;49.6;53.9;55.9;56.6;56.3;57.8;67.6;67.7;68.7;69.5;70.5;71.1;71.6;72.2;74.8;75.1;75.3;77.5;78.2;80.2;81.0;32.1;31.0;32.1;32.9;34.2;33.0;32.5;32.8;33.4;32.9;34.1;34.8;35.4;35.1;35.2;
